file,n_utt,n_child,n_caregiver,n_other,caregiver_to_child_ratio,pct_mor,pct_gra,pct_rich_dep,pct_zero_tokens,mean_tokens,median_tokens,n_total_word_tokens,pct_control_word_tokens,pct_period,pct_question,pct_exclamation,pct_other_term,header_types,n_distinct_header_types,subcorpus,pool,child
020227,1594,594,922,78,1.5521885521885521,0.9196988707653702,0.9196988707653702,0.026976160602258468,0.016938519447929738,2.881430363864492,2.0,4593,0.043544524276072284,0.7452948557089084,0.23212045169385195,0.0037641154328732747,0.018820577164366373,begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8,16,UK_long_long,English-UK,Nicole
020303,1763,568,1078,117,1.897887323943662,0.9239931934203063,0.9239931934203063,0.02665910380034033,0.025524673851389675,3.132161089052751,2.0,5522,0.04690329590727997,0.68689733408962,0.2892796369824163,0.0005672149744753262,0.023255813953488372,begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8,16,UK_long_long,English-UK,Nicole
020317,1830,673,1051,106,1.561664190193165,0.9087431693989071,0.9087431693989071,0.01639344262295082,0.027868852459016394,2.8808743169398907,2.0,5272,0.04761001517450683,0.7480874316939891,0.23114754098360657,0.000546448087431694,0.020218579234972677,begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8,16,UK_long_long,English-UK,Nicole
020400,1339,483,781,75,1.6169772256728778,0.8745332337565347,0.8745332337565347,0.0351008215085885,0.020911127707244213,2.864824495892457,2.0,3836,0.05813347236704901,0.7371172516803585,0.24719940253920836,0.0014936519790888724,0.014189693801344288,begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8,16,UK_long_long,English-UK,Nicole
010528,241,65,168,8,2.5846153846153848,0.8298755186721992,0.8298755186721992,0.23236514522821577,0.07468879668049792,3.6970954356846475,3.0,891,0.07407407407407407,0.91701244813278,0.08298755186721991,0.0,0.0,activities|begin|birth|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,15,UK_short_obs,English-UK,Abigail
010827,239,83,154,2,1.855421686746988,0.8702928870292888,0.8702928870292888,0.3472803347280335,0.11297071129707113,2.7656903765690375,2.0,661,0.07110438729198185,0.9330543933054394,0.06694560669456066,0.0,0.0,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Abigail
020001,376,121,209,46,1.7272727272727273,0.8803191489361702,0.8803191489361702,0.22872340425531915,0.05053191489361702,3.0851063829787235,2.0,1160,0.0603448275862069,0.8776595744680851,0.12234042553191489,0.0,0.0,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Abigail
020300,399,172,226,1,1.313953488372093,0.9223057644110275,0.9223057644110275,0.2756892230576441,0.05263157894736842,2.987468671679198,2.0,1192,0.04949664429530201,0.9197994987468672,0.08020050125313283,0.0,0.0,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Abigail
020602,524,142,370,12,2.6056338028169015,0.9045801526717557,0.9045801526717557,0.22709923664122136,0.05343511450381679,3.5114503816793894,3.0,1840,0.043478260869565216,0.8568702290076335,0.1297709923664122,0.0,0.013358778625954198,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Abigail
020903,390,151,238,1,1.576158940397351,0.8717948717948718,0.8717948717948718,0.11794871794871795,0.06153846153846154,3.2897435897435896,3.0,1283,0.06157443491816056,0.8666666666666667,0.13076923076923078,0.0,0.002564102564102564,activities|begin|comment|date|end|id|languages|location|participants|pid|situation|time_start|types|utf8,14,UK_short_obs,English-UK,Abigail
