file,corpus_dir,child,n_utt,n_speakers,n_participants_declared,has_investigator,n_caregiver_codes,duration_minutes,Situation,Activities,Location,Types,Transcriber,pct_xxx,pct_yyy,pct_www,pct_amp_event,pct_timecode,pct_plus_info,pct_CHI,pct_MOT,pct_FAT,pct_INV,pct_mor,pct_gra,pct_com,pct_sit,pct_act,pct_exp,pct_spa,pct_xpho,pct_err,pct_add,n_distinct_dep_tiers,subcorpus
020117,English-UK,John,1089,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.03581267217630854,0.0,0.0027548209366391185,0.018365472910927456,0.0,0.0,0.4049586776859504,0.549127640036731,0.0,0.04591368227731864,0.9742883379247016,0.9742883379247016,0.006427915518824609,0.0,0.0,0.0009182736455463728,0.0,0.0,0.008264462809917356,0.0018365472910927456,6,Manchester
020124,English-UK,John,1126,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.020426287744227355,0.0,0.003552397868561279,0.020426287744227355,0.0,0.0,0.40408525754884544,0.5239786856127886,0.0,0.0719360568383659,0.9769094138543517,0.9769094138543517,0.006216696269982238,0.0,0.0,0.0,0.0,0.0,0.006216696269982238,0.003552397868561279,5,Manchester
020208,English-UK,John,1173,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.03239556692242114,0.0008525149190110827,0.005967604433077579,0.0034100596760443308,0.0,0.0,0.3273657289002558,0.4629156010230179,0.0,0.20971867007672634,0.9735720375106565,0.9735720375106565,0.0025575447570332483,0.0,0.0,0.0,0.0,0.0,0.008525149190110827,0.005967604433077579,5,Manchester
020221,English-UK,John,1037,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.052073288331726135,0.0019286403085824494,0.0009643201542912247,0.009643201542912247,0.0,0.0,0.4088717454194793,0.549662487945998,0.0,0.041465766634522665,0.9594985535197685,0.9594985535197685,0.0009643201542912247,0.0,0.0,0.0,0.0,0.0,0.007714561234329798,0.0009643201542912247,5,Manchester
011109,English-UK,Liz,1392,3,3,1,1,,playing with toys,,,"long, toyplay, TD",,0.033764367816091954,0.0007183908045977011,0.00646551724137931,0.017959770114942528,0.0,0.0,0.4130747126436782,0.5344827586206896,0.0,0.05244252873563218,0.9813218390804598,0.9813218390804598,0.015804597701149427,0.0,0.0,0.0035919540229885057,0.0,0.0,0.007902298850574713,0.0035919540229885057,6,Manchester
011116,English-UK,Liz,1323,3,3,1,1,,playing with toys,,,"long, toyplay, TD",Anna Theakston,0.02872260015117158,0.0015117157974300832,0.003779289493575208,0.013605442176870748,0.0,0.0,0.3786848072562358,0.6107331821617535,0.0,0.010582010582010581,0.9720332577475435,0.9720332577475435,0.009826152683295541,0.0,0.0,0.0,0.0,0.0,0.0022675736961451248,0.006802721088435374,5,Manchester
020007,English-UK,Liz,1560,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.03397435897435897,0.0,0.007051282051282051,0.008974358974358974,0.0,0.0,0.41923076923076924,0.5051282051282051,0.0,0.07564102564102564,0.982051282051282,0.982051282051282,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.01858974358974359,0.007692307692307693,5,Manchester
020014,English-UK,Liz,1351,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.02146558105107328,0.0,0.011102886750555145,0.006661732050333087,0.0,0.0,0.44041450777202074,0.5314581791265729,0.0,0.028127313101406367,0.9822353811991118,0.9822353811991118,0.01924500370096225,0.0,0.0,0.0,0.0,0.0,0.01628423390081421,0.011102886750555145,5,Manchester
020021,English-UK,Liz,1336,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.03592814371257485,0.0,0.0014970059880239522,0.006736526946107785,0.0,0.0,0.48727544910179643,0.47904191616766467,0.0,0.033682634730538924,0.9880239520958084,0.9880239520958084,0.01122754491017964,0.0,0.002245508982035928,0.0014970059880239522,0.0,0.0,0.008233532934131737,0.0007485029940119761,7,Manchester
020028,English-UK,Liz,1274,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.03296703296703297,0.0,0.0007849293563579278,0.008634222919937205,0.0,0.0,0.4387755102040816,0.5306122448979592,0.0,0.030612244897959183,0.9945054945054945,0.9945054945054945,0.014913657770800628,0.0,0.0,0.0,0.0,0.0,0.004709576138147566,0.0007849293563579278,5,Manchester
