corpus,language,spec,predictor,beta,se,stat,p,ci95_low,ci95_high
Manchester,English-Manchester,M_new_post_MixedLM_child,cumulative_cue_attempts_z,0.0713074121231711,0.0033067248148975605,21.56436235695051,3.8823096088564986e-103,,
Manchester,English-Manchester,M_new_post_MixedLM_child,COI_x_cumulative,-0.01864757625551088,0.003812844966996093,-4.890725014241049,1.0046523686407738e-06,,
Manchester,English-Manchester,M_new_post_MixedLM_child,prior_local_freq_z,0.1368634809700337,0.002098786816271888,65.21075885789426,0.0,,
Manchester,English-Manchester,M_new_post_MixedLM_child,log_cue_freq_z,0.09516950295722393,0.0024483891779351844,38.87025143506141,0.0,,
Manchester,English-Manchester,S1_pre_OLS_cluster_cue,const,0.29503787722841845,0.011729650135098565,25.153169432187777,1.304750775526373e-139,0.27204818541236986,0.31802756904446705
Manchester,English-Manchester,S1_pre_OLS_cluster_cue,COI_z,-0.03008060903802462,0.011524294006735122,-2.610191046882756,0.00904916701145772,-0.052667810238476255,-0.007493407837572984
Manchester,English-Manchester,S1_pre_OLS_cluster_cue,cumulative_cue_attempts_z,0.0383747610221752,0.008013294819763105,4.788886704571499,1.6770912709340659e-06,0.02266899177793813,0.05408053026641227
Manchester,English-Manchester,S1_pre_OLS_cluster_cue,COI_x_cumulative,-0.02462553803231752,0.00928220686824279,-2.652983108636467,0.007978386334668259,-0.042818329191123716,-0.006432746873511325
Manchester,English-Manchester,S1_pre_OLS_cluster_cue,prior_local_freq_z,0.11085792113466689,0.016237624751108792,6.827225215134801,8.657273267593557e-12,0.07903276142801749,0.14268308084131628
Manchester,English-Manchester,S1_pre_OLS_cluster_cue,log_cue_freq_z,0.06410082418121017,0.01526259541776395,4.1998639436254726,2.670754177552413e-05,0.034186686851786774,0.09401496151063357
Manchester,English-Manchester,S1_pre_MixedLM_child,Intercept,0.301831676763459,0.012831567518024828,23.52258805009352,2.3958913867034218e-122,,
Manchester,English-Manchester,S1_pre_MixedLM_child,COI_z,-0.029906895154696744,0.007324952014022974,-4.082879327733838,4.448112326156729e-05,,
Manchester,English-Manchester,S1_pre_MixedLM_child,cumulative_cue_attempts_z,0.04397693910385965,0.009415705712792362,4.670594052670075,3.0032993382601217e-06,,
Manchester,English-Manchester,S1_pre_MixedLM_child,COI_x_cumulative,-0.02661609262054777,0.010830863716189805,-2.45743029531084,0.013993496390566865,,
Manchester,English-Manchester,S1_pre_MixedLM_child,prior_local_freq_z,0.10943203199888632,0.00610115303625588,17.93628701797684,6.142481943199426e-72,,
Manchester,English-Manchester,S1_pre_MixedLM_child,log_cue_freq_z,0.06193012551882684,0.007572699754176014,8.178077505935063,2.8840824595445914e-16,,
Manchester,English-Manchester,S4_post_OLS_cluster_cue,const,0.4409943961947872,0.010514227637418785,41.94263348696625,0.0,0.4203868887001907,0.4616019036893837
