language,child,subcorpus,window,n_episodes,truncation,mode,n_cues,outcome_mean,outcome_var,beta,se,p
English-Manchester,Becky,Manchester,10,2415,0.006625258799171843,LPM,70,0.5300207039337475,0.24920194654714306,0.0004857894369189042,0.05798493857326575,0.9933155166344364
English-Manchester,Becky,Manchester,10,2415,0.006625258799171843,Logit,70,0.5300207039337475,0.24920194654714306,-0.23890165593778337,0.19748936038420672,0.22639640764632618
English-Manchester,Becky,Manchester,10,2415,0.006625258799171843,Continuous,70,0.13278122843340234,0.02845316094730741,-0.014176340085411271,0.022696025390456235,0.5322219737149221
English-Manchester,Becky,Manchester,15,2415,0.012836438923395446,LPM,70,0.5962732919254659,0.24083117631620932,-0.0027143566174342715,0.09264908156582785,0.9766275777116028
English-Manchester,Becky,Manchester,15,2415,0.012836438923395446,Logit,70,0.5962732919254659,0.24083117631620932,-0.17791804667936736,0.20397525001495417,0.3830703104280295
English-Manchester,Becky,Manchester,15,2415,0.012836438923395446,Continuous,70,0.12938137087205412,0.02467768733865077,-0.0027291444978200866,0.02133382896962197,0.8982077912824987
English-Manchester,Becky,Manchester,20,2415,0.014492753623188406,LPM,70,0.6351966873706004,0.23181784655074522,-0.04196218262949561,0.11043091103714685,0.7039559253363703
English-Manchester,Becky,Manchester,20,2415,0.014492753623188406,Logit,70,0.6351966873706004,0.23181784655074522,-0.3119707324465453,0.21272360313437594,0.14249731714961486
English-Manchester,Becky,Manchester,20,2415,0.014492753623188406,Continuous,70,0.12638928921864523,0.023082209033378695,-0.0009451749486198632,0.023232691678386173,0.9675486366088184
English-Manchester,Carl,Manchester,3,5983,0.00016714023065351831,LPM,83,0.4272104295503928,0.24474258476583016,-0.010049815993624239,0.02335240349747739,0.6669376613742721
English-Manchester,Carl,Manchester,3,5983,0.00016714023065351831,Logit,83,0.4272104295503928,0.24474258476583016,-0.06937037161683228,0.0688972720351501,0.3139988176027231
English-Manchester,Carl,Manchester,3,5983,0.00016714023065351831,Continuous,83,0.21477519638977102,0.08397646371990597,-0.011180335807566638,0.015243347245342867,0.46327990229083027
